CustomerID,frequency,monetary,avg_basket_value,customer_lifetime_days,purchase_velocity,return_ratio,churn
12346,2,0,0,1,2,0,1
12347,7,4310,23.68131868,366,0.019125683,0,0
12348,4,1797.24,57.97548387,283,0.014134276,0,0
12349,1,1757.55,24.0760274,1,1,0,0
12350,1,334.4,19.67058824,1,1,0,1
12352,11,1545.41,16.26747368,261,0.042145594,0.140425532,0
12353,1,89,22.25,1,1,0,1
12354,1,1079.4,18.61034483,1,1,0,1
12355,1,459.4,35.33846154,1,1,0,1
12356,3,2811.43,47.65135593,303,0.00990099,0,0
12357,1,6207.67,47.38679389,1,1,0,0
12358,2,1168.06,61.47684211,150,0.013333333,0,0
12359,6,6245.53,24.58870079,324,0.018518519,0.006203474,0
12360,3,2662.06,20.63612403,149,0.020134228,0,0
12361,1,189.9,18.99,1,1,0,1
12362,13,5154.58,18.81233577,293,0.044368601,0.007685353,0
12363,2,552,24,133,0.015037594,0,1
12364,4,1313.1,15.44823529,105,0.038095238,0,0
12365,3,320.69,13.94304348,1,3,0.005780347,1
12367,1,168.9,15.35454545,1,1,0,0
12370,4,3545.69,21.23167665,310,0.012903226,0,0
12371,2,1887.96,29.96761905,15,0.133333333,0,0
12372,3,1298.04,24.96230769,225,0.013333333,0,0
12373,1,364.6,26.04285714,1,1,0,1
12374,1,742.93,22.5130303,1,1,0,0
12375,3,455.42,25.30111111,96,0.03125,0.005649718,0
12377,2,1628.12,21.14441558,40,0.05,0,1
12378,1,4008.62,18.30420091,1,1,0,1
12379,3,850.29,20.73878049,89,0.033707865,0.002463054,0
12380,5,2720.56,25.91009524,165,0.03030303,0.000888099,0
12381,6,1803.96,19.82373626,116,0.051724138,0.03192848,0
12383,6,1839.31,18.3931,168,0.035714286,0.001962067,1
12384,3,566.16,18.872,93,0.032258065,0.041322314,0
12386,2,401.9,40.19,30,0.066666667,0,1
12388,6,2780.66,27.8066,312,0.019230769,0,0
12390,1,549.84,17.1825,1,1,0,0
12391,1,460.89,4.6089,1,1,0,0
12393,4,1582.6,24.728125,261,0.01532567,0,0
12394,2,1272.48,47.12888889,154,0.012987013,0,0
12395,15,2998.28,18.85710692,356,0.042134831,0.002366304,0
12397,2,2409.9,19.12619048,100,0.02,0,0
